tipo,nome,column_name,data_type,is_nullable
TABLE,aviamentos,created_at,timestamp with time zone,YES
TABLE,aviamentos,custo_aviamento,numeric,YES
TABLE,aviamentos,estoque_atual,numeric,YES
TABLE,aviamentos,id,uuid,NO
TABLE,aviamentos,nome_aviamento,text,NO
TABLE,aviamentos,unidade_medida,text,YES
TABLE,categorias_financeiras,categoria_pai_id,uuid,YES
TABLE,categorias_financeiras,codigo,text,YES
TABLE,categorias_financeiras,created_at,timestamp with time zone,NO
TABLE,categorias_financeiras,grupo_dre,text,YES
TABLE,categorias_financeiras,id,uuid,NO
TABLE,categorias_financeiras,nome_categoria,text,YES
TABLE,categorias_financeiras,ordem_exibicao,numeric,YES
TABLE,categorias_financeiras,tipo,text,YES
TABLE,centros_custos,ativo,boolean,YES
TABLE,centros_custos,created_at,timestamp with time zone,NO
TABLE,centros_custos,id,uuid,NO
TABLE,centros_custos,nome_centro,text,YES
TABLE,consumo_aviamentos,aviamento_id,uuid,YES
TABLE,consumo_aviamentos,created_at,timestamp with time zone,NO
TABLE,consumo_aviamentos,id,uuid,NO
TABLE,consumo_aviamentos,produto_id,uuid,YES
TABLE,consumo_aviamentos,quantidade_por_peca,numeric,YES
TABLE,controle_integracoes,id,integer,NO
TABLE,controle_integracoes,nome,text,YES
TABLE,controle_integracoes,ultima_sincronizacao,timestamp without time zone,YES
TABLE,controle_sync,created_at,timestamp with time zone,YES
TABLE,controle_sync,id,uuid,NO
TABLE,controle_sync,tipo,text,NO
TABLE,controle_sync,ultima_execucao,timestamp with time zone,YES
TABLE,cores,ativo,boolean,YES
TABLE,cores,cor_hex,text,YES
TABLE,cores,created_at,timestamp with time zone,NO
TABLE,cores,id,uuid,NO
TABLE,cores,nome_cor,text,YES
TABLE,entradas_tecido,created_at,timestamp with time zone,NO
TABLE,entradas_tecido,custo_por_kg,numeric,YES
TABLE,entradas_tecido,data_entrada,date,YES
TABLE,entradas_tecido,estoque_disponivel_metros,numeric,YES
TABLE,entradas_tecido,fornecedor,text,YES
TABLE,entradas_tecido,id,uuid,NO
TABLE,entradas_tecido,lote,numeric,YES
TABLE,entradas_tecido,numero_nf,numeric,YES
TABLE,entradas_tecido,quantidade_kg,numeric,YES
TABLE,entradas_tecido,quantidade_metros,numeric,YES
TABLE,entradas_tecido,tecido_id,uuid,YES
TABLE,fichas_tecnicas,consumo_tecido,numeric,YES
TABLE,fichas_tecnicas,created_at,timestamp with time zone,NO
TABLE,fichas_tecnicas,descricao_modelagem,text,YES
TABLE,fichas_tecnicas,id,uuid,NO
TABLE,fichas_tecnicas,produto_id,uuid,YES
TABLE,fichas_tecnicas,tecido_id,uuid,YES
TABLE,fichas_tecnicas,tecido_principal,text,YES
TABLE,fichas_tecnicas,tempo_minuto_producao,numeric,YES
TABLE,fichas_tecnicas,tempo_minuto_revisao,numeric,YES
TABLE,metas_financeiras,created_at,timestamp without time zone,YES
TABLE,metas_financeiras,dias_uteis,integer,YES
